"tag","keywords","match_type","priority"
"compound",",","keyword","5"
"percentage","procente|%|ponderea","keyword","10"
"ratio","/|la 1000|la 100| pe |echiv|rate|promile","keyword","10"
"currency","lei|ron|euro|dolari|usd","keyword","20"
"count","numar|persoane|locuri|unitati|firme|gospodarii|cazuri|spectatori|pasageri|locuitori|exemplare|bucati|linii","keyword","20"
"physical_unit","tone|kg|km|metri|ha|mc|kwh|gcal|litri|jouli|kw|cp|tdw","keyword","20"
"time_unit","ani|ore|zile|zi","keyword","20"
"multiplier_3","mii|1000","keyword","50"
"multiplier_6","milioane","keyword","50"
"multiplier_9","miliarde","keyword","50"
"currency_ron","lei|ron","keyword","51"
"currency_eur","euro","keyword","51"
"currency_usd","dolari|usd","keyword","51"
"physical_t","tone","keyword","51"
"physical_kg","kg","keyword","51"
"physical_km","km","keyword","51"
"physical_m2","metri patrati|mp","keyword","51"
"physical_m3","metri cubi|mc","keyword","51"
"physical_ha","ha|hectare","keyword","51"
"physical_kwh","kwh","keyword","51"
"physical_kw","kw","keyword","51"
"physical_gcal","gcal","keyword","51"
"other","unitati de masura","exact","90"